Date,Lyxor Smart Overnight Return UCITS ETF C-EUR
07/2015,10000
08/2015,10003.859000518865
09/2015,10004.528827033799
10/2015,10002.379383739612
11/2015,10002.349391507601
12/2015,10002.689303470403
01/2016,10002.96923096918
02/2016,10002.709298291742
03/2016,10001.599585707303
04/2016,9999.940015535976
05/2016,9998.240455721969
06/2016,9996.470914033267
07/2016,9994.521418952492
08/2016,9992.45195494367
09/2016,9990.292514238812
10/2016,9988.293032104686
11/2016,9986.223568095864
12/2016,9985.323801135506
01/2017,9981.974668560844
02/2017,9979.945194194705
03/2017,9977.625794919117
04/2017,9975.526338678283
05/2017,9972.867027439894
06/2017,9971.137475393874
07/2017,9967.638381659151
08/2017,9964.849104082045
09/2017,9963.659412212239
10/2017,9959.720432408007
11/2017,9957.351046079066
12/2017,9954.831698590066
01/2018,9952.162389941006
02/2018,9950.282876734926
03/2018,9947.573578443184
04/2018,9944.35441220724
05/2018,9941.725093200861
06/2018,9938.825844106377
07/2018,9935.816623494515
08/2018,9932.547470205218
09/2018,9929.74819521744
10/2018,9926.509034160154
11/2018,9923.419834262926
12/2018,9920.48059552576
01/2019,9916.961506969696
02/2019,9913.752338144423
03/2019,9910.383210748416
04/2019,9906.67417138961
05/2019,9902.955134620133
06/2019,9898.546276514384
07/2019,9896.196885006784
08/2019,9892.457853415966
09/2019,9889.448632804106
10/2019,9885.019779877013
11/2019,9881.630657659667
12/2019,9878.511465530428
01/2020,9875.032366617046
02/2020,9873.932651443276
03/2020,9870.123637977764
04/2020,9866.694526117735
05/2020,9861.315919176934
06/2020,9859.066501776042
07/2020,9855.167511614492
08/2020,9851.03858100752
09/2020,9846.569738437745
10/2020,9843.760466039297
11/2020,9839.031690792086
12/2020,9836.312395089672
01/2021,9831.86354734124
02/2021,9829.374192084251
03/2021,9825.555181208068
04/2021,9819.93663641117
05/2021,9816.95740803132
06/2021,9813.758236616717
07/2021,9809.759272348463
08/2021,9797.46245722358
09/2021,9798.862094717468
10/2021,9797.862353650406
11/2021,9790.764192074254
12/2021,9791.164088501078
01/2022,9787.465046552945
02/2022,9796.262767943104
03/2022,9779.567092123141
04/2022,9777.96750641584
05/2022,9771.969060013458
06/2022,9769.869603772624
07/2022,9768.669914492148
08/2022,9766.470484144607
09/2022,9766.570458251314
10/2022,9776.167972495125
11/2022,9791.164088501078
12/2022,9805.360411653382
01/2023,9821.756165153225
02/2023,9834.05298027811
03/2023,9861.345911408946
04/2023,9882.740370244106
05/2023,9904.234803185975
06/2023,9938.325973572846
07/2023,9962.819629715905
08/2023,9994.01155100829
09/2023,10025.203472300676
10/2023,10058.5948239406
11/2023,10093.485787181122
12/2023,10122.9781486595
01/2024,10158.96882707379
02/2024,10190.960541219827
03/2024,10227.751012487768
04/2024,10261.342312341107
05/2024,10299.332472889524
06/2024,10335.423125410522
07/2024,10367.114917236437
08/2024,10403.505492077555
09/2024,10432.098086595573
10/2024,10475.786771226254
11/2024,10498.98076398213
12/2024,10537.270846850668
01/2025,10563.06416638091
02/2025,10586.458107350198
03/2025,10608.552384932305
04/2025,10645.542804413659
05/2025,10658.539438285487
06/2025,10680.833664081005
07/2025,10702.028174702755
08/2025,10721.023254976963
09/2025,10744.717118266371
10/2025,10766.511473528359
11/2025,10786.0064243361
12/2025,10812.499562613286
01/2026,10830.095005393605
02/2026,10848.69018924099
03/2026,10869.684751649325
04/2026,10893.678537258853